Name,City,Cuisine,Rating,Price,Count,Reviews,RestID
Punx,Barcelona,Contemporary,3.5,,7.0,,11757
Suyapa Braseria Restaurante & Bar,Barcelona,"('Mediterranean', 'European', 'Spanish')",3.5,50.0,73.0,"Local gem, Authentic",11758
3D Pizzeria Doner Kebab Comida Liban الحلال,Barcelona,"('Pizza', 'Spanish')",4.0,,4.0,"Fantastic Pizza, Great Prices",11759
Alboran,Barcelona,[],3.5,,6.0,Great lunch and good service,11760
Chiringuito Sahara Beach Bar,Barcelona,[],3.0,,7.0,"Fabulous beach bar, Not good",11761
Tradicion Moderna,Barcelona,"('Peruvian', 'South American')",4.0,50.0,24.0,Delicious and affordable traditional peruv...,11762
Rey de Istanbul,Barcelona,"('Mediterranean', 'Turkish', 'Middle Eastern', 'Vegetarian Friendly', 'Halal')",3.5,20.0,35.0,"Just an average Turkish resturant, Just Average",11763
Tropicalissima,Barcelona,"('South American', 'Colombian')",3.0,20.0,25.0,"Nice place, Like coming home",11764
Baserri Taberna,Barcelona,Spanish,3.5,,15.0,"Great place, great people, Eating at Baserri",11765
Txikolet,Barcelona,Spanish,3.5,50.0,15.0,"Slightly out of the way from busy Las Ramb..., Back again, and again, again...",11766
Estel de Mar,Barcelona,[],3.5,,2.0,Take out for the beach,11767
Casa Pueblo,Barcelona,[],4.0,,4.0,,11768
Rincon Dos,Barcelona,Spanish,3.5,,3.0,,11769
Pans & Company,Barcelona,[],3.5,,8.0,,11770
Arcadio's,Barcelona,Spanish,3.5,20.0,28.0,"Good variety at Most Reasonable Price, Could be better",11771
Pizza Market Sants,Barcelona,"('Italian', 'Pizza')",3.5,50.0,8.0,Avoid bufala,11772
Bar Restaurant Bauma,Barcelona,[],3.0,,22.0,"Disgusting, Helpful staff. Good food. Recommend.",11773
Ichi Ban Su Shi Bar,Barcelona,Japanese,3.5,50.0,3.0,,11774
Amalur,Barcelona,"('Italian', 'Cafe')",3.0,,8.0,,11775
Bar Roure,Barcelona,"('Mediterranean', 'Spanish', 'Bar')",3.5,50.0,63.0,"Good food. Good service., No More Paella!",11776
La Abadia,Barcelona,"('German', 'Spanish')",3.5,20.0,3.0,,11777
Mandoni,Barcelona,Italian,3.5,,13.0,"Amazing little gem, Amazing!!",11778
Pappapomodoro fast food,Barcelona,"('Italian', 'Mediterranean')",4.0,50.0,52.0,"Best Pizzaplace in the city of Barcelona, Great lunchtime treat",11779
La Parrilla De Pollos Planes,Barcelona,Barbecue,3.5,20.0,34.0,"Not what I was hoping ., Not worth the little money",11780
ikastola,Barcelona,Cafe,3.5,20.0,28.0,"Delicious sandwiches in a cosy garden, One of the best in Gràcia",11781
Hendrix,Barcelona,"('Spanish', 'Contemporary', 'Pub', 'Gastropub')",3.5,20.0,39.0,"Burger joint, They canceled my booking without any notic...",11782
Bar O'carballo,Barcelona,Spanish,3.5,,15.0,"Tasty Tapas, Great tapas, great service, great prices.",11783
Restaurante J L,Barcelona,[],3.5,,10.0,Wonderful,11784
Snack 55,Barcelona,"('Bar', 'Fast Food', 'Spanish', 'European')",3.0,20.0,94.0,"CHEAP DRINKS, Not Recommend!",11785
Ciao Roma barcelona,Barcelona,"('Italian', 'Mediterranean', 'Pizza')",3.0,,14.0,"Pizza is Pizza, A very fine place.",11786
Isabella's,Barcelona,"('Mediterranean', 'Italian', 'European', 'Vegetarian Friendly')",3.5,50.0,313.0,"An unknown classic, Pretty Good -- And Certainly a Good Time",11787
Il Ristobar de Mandri,Barcelona,Italian,3.5,50.0,23.0,"A gorgeous terrasse, 🍝🍝",11788
Bar Sant Pau,Barcelona,Spanish,3.5,50.0,4.0,"Nice paella, with fresh seafood, seasoned...",11789
Restaurante Mabi,Barcelona,[],3.0,,34.0,"Good food, Good Tapas",11790
El Caliu de Gracia,Barcelona,"('Mediterranean', 'European', 'Spanish')",4.0,50.0,63.0,"Great great food and service, Great paella",11791
El Raco de Lluria Restaurant,Barcelona,[],3.5,,11.0,"Local, value cafe",11792
Restaurante Chino Central Nou,Barcelona,"('Chinese', 'Asian')",3.5,50.0,15.0,"Great and simple vegetarian food, Nice change",11793
Chevalier Bistrot Barcelona,Barcelona,[],3.0,,3.0,Lovely Bistro,11794
Bar Esterri,Barcelona,[],3.5,,4.0,Great little neighborhood place to eat at.,11795
Papizza Mataro,Barcelona,[],3.5,,3.0,,11796
Jiang Zhe,Barcelona,Chinese,3.5,,3.0,"Peculiar restaurant, cheap Chinese food in barcelona",11797
